V,g,Mg
-80,0,3
-70,0.003710575139147,3
-60,0.003710575139147,3
-50,0.027829313543599,3
-40,0.072356215213358,3
-30,0.155844155844156,3
-19.7872340425532,0.257884972170686,3
-10,0.36178107606679,3
10,0.664192949907236,3
19.7872340425532,0.779220779220779,3
29.7872340425532,0.825602968460111,3
39.5744680851064,0.98886827458256,3
49.7872340425532,0.972170686456401,3
59.5744680851064,0.970315398886828,3
