V,I,Mg
-150.172447423485,-0.581986620308745,5.00E-03
-146.164042274001,-0.57424422095095,0.005
-142.155637124517,-0.563531786429674,0.005
-138.147231975033,-0.568263534758502,0.005
-134.138826825549,-0.567649219793064,0.005
-130.130421676065,-0.56465887669684,5.00E-03
-126.122016526581,-0.577112716450723,0.005
-122.113611377097,-0.584814499943035,0.005
-118.105206227613,-0.594892311566132,0.005
-114.096801078129,-0.612692214614282,0.005
-110.088395928645,-0.632868145793218,0.005
-106.079990779161,-0.657202126201029,5.00E-03
-102.071585629677,-0.688664191001196,0.005
-98.0631804801929,-0.724284305030238,0.005
-94.0547753307089,-0.762280447190067,0.005
-90.0463701812249,-0.80918669484034,0.005
-86.037965031741,-0.849558865130954,5.00E-03
-82.029559882257,-0.892307063552353,0.005
-78.021154732773,-0.933273240875663,0.005
-74.012749583289,-0.968893354904705,0.005
-70.004344433805,-0.986099250920159,0.005
-65.995939284321,-0.992019013314382,5.00E-03
-61.987534134837,-0.983088599891194,0.005
-57.979128985353,-0.964060066912167,0.005
-53.9707238358691,-0.934339407344606,0.005
-49.9623186863851,-0.881452473501883,0.005
-45.9539135369011,-0.82737752559377,5.00E-03
-41.9455083874171,-0.766174493293298,0.005
-37.9371032379331,-0.691309299240811,0.005
-33.9286980884491,-0.612880062992144,0.005
-29.9202929389651,-0.542766925201226,0.005
-26.2820512820513,-0.440842256934211,0.005
-22.2222222222222,-0.332940367423125,5.00E-03
-4.05982905982904,0.313521302027049,0.005
0.427350427350461,0.513442708845008,0.005
4.4871794871795,0.736287127091725,0.005
7.69230769230771,0.93601205095458,0.005
10.2564102564102,1.13563873333988,5.00E-03
13.4615384615385,1.37367783344795,0.005
16.2393162393163,1.6039886039886,0.005
20.2991452991453,1.91878704522383,0.005
22.8632478632479,2.17971640960147,0.005
25.8547008547009,2.47136260929364,0.005
28.6324786324787,2.75531322657759,0.005
32.4786324786325,3.10839309689884,0.005
38.2478632478633,3.60736156138455,0.005
