V,I
-97.7172973488039,-0.013340538482321
-91.2669070966842,-0.014817111916893
-85.6283047513605,-0.016219321004355
-79.6792589690493,-0.012676872133467
-73.4421748508727,-0.024287222459495
-67.8633284993767,-0.034234833880253
-61.332753102364,-0.038211016901567
-56.1766522544781,-0.054766316656373
-50.5986113954459,-0.077447599144485
-44.2739626031782,-0.108774589626968
-39.092593632433,-0.144196754449997
-34.9676270434969,-0.174508507858999
-29.3020334872352,-0.222368868251618
-23.1477693246564,-0.242556013813632
-17.0715059247543,-0.279369852277746
-11.3571215385958,-0.2584418437744
-6.63849738896063,-0.209921949576057
-3.75787674652084,-0.146356123974984
3.90813633556067,0.081924869448032
6.01323896497684,0.160788306824019
7.34435290067273,0.219078453692974
8.67794827379871,0.275515793947486
10.0083532273717,0.334335314134854
11.3380491988219,0.393684207640634
12.6546290009988,0.462826507537047
14.1194451487,0.526504524660888
15.3076401047932,0.586288654414321
16.5347109139574,0.652118432281084
17.5454535528796,0.70410848523039
18.459624408469,0.758059566255583
19.4004757364575,0.827162179629097
20.4048670771957,0.883894535222515
21.3148456319044,0.940975867571971
22.6020026759821,0.989999618094963
23.5766758494031,1.04086317722681
