V,I,Mg
-58.2051282051282,-0.072122507122507,1
-48.2051282051282,-0.116011396011396,1
-38.2051282051282,-0.159900284900285,1
-28.2051282051282,-0.208233618233618,1
-18.2051282051282,-0.192122507122507,1
-8.20512820512822,-0.107122507122507,1
11.7948717948718,0.198433048433048,1
21.5384615384615,0.405641025641026,1
31.5384615384615,0.606196581196581,1
41.5384615384615,0.806752136752137,1
51.5384615384616,1.03619658119658,1
61.2820512820513,1.23673789173789,1
-58.2051282051282,-0.012122507122507,10
-48.2051282051282,-0.02045584045584,10
-38.2051282051282,-0.033233618233618,10
-28.2051282051282,-0.054900284900285,10
-17.948717948718,-0.06988603988604,10
-8.20512820512822,-0.06045584045584,10
11.7948717948718,0.165099715099715,10
21.5384615384615,0.394529914529915,10
31.5384615384615,0.632863247863248,10
41.5384615384615,0.871196581196581,10
51.5384615384616,1.15175213675214,10
61.5384615384616,1.41230769230769,10
