V,g,Mg
-88.2271204373127,0.246105919003115,0.01
-78.2968318344795,0.35202492211838,0.01
-68.2099570916358,0.439252336448598,0.01
-58.2721448304238,0.520249221183801,0.01
-48.3512608005643,0.657320872274143,0.01
-38.4299065420561,0.792834890965732,0.01
-28.4483630165168,0.728971962616822,0.01
-8.56709575030857,0.872274143302181,0.01
1.39281725739141,0.88006230529595,0.01
11.3442661494152,0.91588785046729,0.01
21.3018280138718,0.931464174454829,0.01
31.281960853465,0.872274143302181,0.01
41.228707459002,0.923676012461059,0.01
51.1698113207548,0.993769470404984,0.01
-88.3249279962382,0.070093457943925,0.1
-78.222535707988,0.105919003115265,0.1
-68.2790807029919,0.168224299065421,0.1
-58.3426791277259,0.253894080996885,0.1
-48.2614471286663,0.359813084112149,0.1
-38.3509081290778,0.531152647975078,0.1
-28.4074531240816,0.593457943925234,0.1
-8.54546523246927,0.800623052959502,0.1
1.38717451360725,0.898753894080997,0.1
11.3437959207665,0.917445482866044,0.1
21.2919532122495,0.96417445482866,0.1
31.268794451302,0.91588785046729,0.1
41.2211838006231,0.948598130841122,0.1
51.1876800094046,0.934579439252336,0.1
60.9858343619585,0.978193146417446,0.1
-58.2829600893435,0.05607476635514,1
-48.1862105448774,0.110591900311527,1
-38.2502791982601,0.197819314641744,1
-28.3336272262387,0.348909657320872,1
-18.4169752542174,0.5,1
-8.33856462704989,0.615264797507788,1
1.43419737847529,0.742990654205607,1
11.2201257861636,0.827102803738318,1
21.3121730441427,0.897196261682243,1
31.2697349085993,0.912772585669782,1
41.2296479162993,0.920560747663551,1
51.1820372656204,0.953271028037383,1
61.1443014165639,0.953271028037383,1
-58.2665020866396,0.001557632398754,10
-48.1542349967672,0.004672897196262,10
-38.1962029036619,0.018691588785047,10
-28.3989890084053,0.065420560747664,10
-18.3092928936695,0.143302180685358,10
-8.3860577205666,0.272585669781932,10
1.54329042496914,0.381619937694704,10
11.4420737083407,0.59190031152648,10
21.3530829365779,0.761682242990654,10
31.1460647739964,0.822429906542056,10
41.2461059190032,0.866043613707165,10
51.191441838594,0.922118380062305,10
60.9952389349321,0.947040498442368,10
