V,IC50
-115.217391304348,17.25266962059
-105.108695652174,24.9154834539174
-95.1086956521739,35.3957882254988
-85.2173913043478,61.1648191493338
-75.1086956521739,105.713120556683
-65.1086956521739,195.023227667408
-55.1086956521739,444.879473583469
-45,905.297979388885
-35,2353.34266293407
-25,6018.47674102341
-15,14418.4710775916
-115.108695652174,12.6515308082502
-105.217391304348,12.7541239147751
-95.2173913043478,14.6532621761171
-85.2173913043478,18.8739759835194
-75.1086956521739,21.6863084512147
-65.1086956521739,31.3155539648961
-55.2173913043478,43.0545868838496
-45,68.5842154714525
-35,116.605927851092
-25.1086956521739,208.187732062782
-15,444.918959333664
-115.326086956522,7.87756924575445
-105.217391304348,9.66236093127066
-85.2173913043478,17.6805024904786
-75.1086956521739,25.1197560719443
-65.1086956521739,51.1123743720225
-55.2173913043478,63.7136070071227
-45,117.561935716789
-35,305.604922531908
-25,308.110461616588
-15,596.953478486342
