V,g
-69.0955710697772,0.046011560919392
-69.9162390419644,0.03194446297747
-67.1185562885232,0.042087383522647
-65.0299510425352,0.043515706292846
-62.7516326872232,0.051920500589133
-60.8961438936252,0.059149004824856
-58.8287036487758,0.062752791495258
-56.7621088846594,0.072993601919626
-54.6950823857007,0.079845293831331
-52.6281818094043,0.087685478642563
-50.5618209016609,0.099762061594625
-48.495295095193,0.11054418955921
-46.4291740401398,0.124503616129419
-44.363427754915,0.141404985852981
-42.2971717827236,0.154305312887982
-40.2313055711537,0.170265260802472
-38.1660989544819,0.191403028666864
-36.1010722273278,0.213952929244866
-34.0363902884159,0.239209417523955
-31.9722180364706,0.268466948491605
-30.0017937075732,0.29578159771459
-28.0321129220154,0.32893306215383
-26.217760988484,0.351642552217116
-24.6705712225617,0.380960171280594
-22.9040661530288,0.410335504897655
-21.163395217004,0.4375465427554
-19.5179377206206,0.474319004128386
-17.7542594588132,0.502152308055986
-15.9043291805338,0.527315557314645
-14.2544455544973,0.558278747094187
-12.4620605462552,0.589458805640708
-10.6560029265184,0.625498723716418
-8.66824867844203,0.650538340178653
-8.85337563419562,0.669049236263963
-6.49454060462938,0.672582603683598
-4.3926365263555,0.700790929039512
-2.29089284956821,0.730258406065061
-0.757342956475753,0.694480742052939
-0.182130269279469,0.746791152185358
0.618585742472959,0.715446927797538
1.77808830088028,0.775164142034648
3.6106011577639,0.810840557017425
5.33604078660188,0.808115484345683
6.73921626390111,0.837777892216602
8.43434555475167,0.850405540568214
10.2247884224606,0.876335177920842
10.9360607485937,0.888316673439206
12.7961183611704,0.880176173072108
13.4447383330265,0.87157304017233
14.5681566990149,0.907107799202196
16.5760847763703,0.923811899056912
18.6362558703132,0.946639336872797
20.7082330787058,0.952467143198945
20.8101734702036,0.975237310419353
22.6454625448179,0.956567589260236
24.5914720113939,0.964720599801132
26.2117122692018,1.00034220430283
26.7163556668284,0.97416661384001
28.4666915003181,1.00749310411736
29.0074009616168,0.979289991036421
29.8754561158387,1.01665203732917
31.2763477333676,0.989232127753695
33.1961744797743,1.00726530761911
35.1709514599751,1.01335662793005
35.2359838525094,0.994761731649239
37.4634860781643,1.00678881643005
38.5012746908644,1.01719504339279
39.6513574473851,1.01369066236021
