V,I,Mg
-138.522925130586,-0.066018572257689,1
-118.322692977365,-0.111839814277422,1
-98.1195589088798,-0.155426581543818,1
-77.9280325014509,-0.207951247823563,1
-57.6494486360998,-0.193441671503192,1
-37.2809053975624,-0.109663377829367,1
-16.8543238537435,0.018804410911201,1
3.63319791062102,0.194196169471852,1
23.6419036564132,0.400899593731863,1
44.1642484039466,0.603105049332559,1
64.6836912362159,0.803076030179918,1
85.2379570516541,1.02986070806732,1
105.237957051654,1.22986070806732,1
-138.444573418456,-0.005687753917585,10
-118.19791062101,-0.015757399883923,10
-97.9541497388276,-0.028061520603598,10
-77.2054556006964,-0.0515670342426,10
-56.9704004643064,-0.070574579222286,10
-37.2199651770168,-0.062739408009286,10
-16.8659315147998,0.009866511897853,10
3.58676726639584,0.158444573418456,10
23.6273940800929,0.389727219965177,10
44.1961694718514,0.627684271619269,10
64.76494486361,0.86564132327336,10
85.3859547301219,1.14381892048752,10
105.983749274521,1.40412071967498,10
