V,I
-98.7454277742896,-0.017976218092733
-95.5545872632213,-0.022524338410969
-92.4444082390907,-0.024131036323686
-89.5698617062049,-0.019318074181805
-86.4678232201803,-0.020691995598708
-83.3685239832668,-0.020020611012653
-80.2709972016605,-0.018025793130567
-77.167266826479,-0.02066299178459
-74.1334256684641,-0.021220458391739
-71.1250625963693,-0.042837660928701
-67.9275265687444,-0.052754289241508
-64.7295185657729,-0.073013144884439
-61.6536100518918,-0.088574228968287
-58.4606425944549,-0.112539219709401
-55.587542895352,-0.140257533760053
-52.6082388827349,-0.155208570251526
-48.263809784865,-0.160646419369641
-45.1189384542158,-0.1706202302798
-38.8747825079174,-0.161206165132083
-35.466469115888,-0.117696326130264
-25.1848103699696,0.096745951664813
-23.8276413412581,0.135581629082106
-22.6130663420096,0.175668659946272
-21.7937488762633,0.19522475016888
-20.3190660606855,0.251535655278145
-19.5090539853019,0.278039770304917
-17.3580022245023,0.355422805742869
-14.6870893221053,0.465518276330225
-11.7545620163678,0.590712702861055
-7.25713391991678,0.810074134952006
-4.04686286754342,0.938324274432422
-1.74736115763125,1.00198977832478
